SampleID,Year,Crop,H2O,Protein,PMN,NO3,POXC,DOC,DON,MBC,MBN,N,SOC,pH,EC,Site,AG,BG,BX,CBH,LAP,NAG,PHOS,SUL,C_enzymes,N_enzymes,all_enzymes,AMF,Fungi,Bacteria,Total_Micro,F_to_B,AMF_relabun
H13_2023,Year 2,Kernza,0.207885305,3.153928,13.6602991,2.698277793,287.53344,28.9671616,1.602026815,146.9734571,19.76541141,0.147,1.1048008,,,Wyoming,22.49872019,130.8854451,39.00491668,9.633981409,230.6603128,7.864326936,98.25521407,43.56450272,32.43348241,42.59093931,41.37729935,3.571433768,15.62722095,39.39549115,70.98052579,0.396675368,0.050315685
H14_2023,Year 2,Kernza,0.228668942,3.606472,13.84001355,5.063557679,789.98976,25.60991672,1.336487099,256.7212924,32.55337429,0.1761,1.39438832,,,Wyoming,29.1210015,188.4151912,53.1225094,40.87636259,196.8417654,24.43754215,32.48662285,7.598791344,58.75140565,69.35653494,44.038966,5.200178436,46.17143444,52.80550574,128.4697869,0.874367811,0.040477832
H15_2023,Year 2,Kernza,0.214201183,2.665096,13.36396637,4.030479061,362.36736,26.37974493,1.654283895,130.7615286,19.8833123,0.1627,1.2619944,,,Wyoming,24.37185906,202.3889757,51.29596517,27.53934519,174.0857286,25.77508938,24.46035891,26.72695903,51.37810494,66.98563439,46.11168645,5.794966355,23.05015817,60.58979575,109.0683241,0.380429706,0.053131525
H16_2023,Year 2,Kernza,0.201567749,2.913864,11.10297686,1.93651938,308.91456,35.43660098,0.909198689,199.772576,18.26621327,0.1458,0.98550224,,,Wyoming,7.878880312,78.85038668,24.43078425,5.487289938,216.8787474,5.126255428,106.3636019,14.07866621,16.98794756,33.34330302,24.70255809,4.622209271,18.29421775,46.3558935,83.93461862,0.394647074,0.055069164
H17_2023,Year 2,Kernza,0.191075515,2.775632,15.03445563,2.039936462,533.41632,20.08906443,0.579227029,142.9424022,19.74173252,0.1487,1.03174224,,,Wyoming,7.424230433,90.33389321,27.24864921,5.750400271,208.2147465,2.963129535,75.68233935,29.56832773,18.00471728,24.83882576,24.84297385,3.823204313,15.17554105,41.7976997,73.74500294,0.363071201,0.051843571
H18_2023,Year 2,Kernza,0.210227273,3.817392,12.13616172,3.551902873,308.91456,61.74391161,3.392067244,217.323835,26.17883969,0.1622,1.34053104,,,Wyoming,18.92157783,152.0589041,41.75956613,18.46891157,261.8714831,19.07744769,118.9142357,24.13503428,38.59593987,70.68125296,48.73400366,3.741952328,18.20261858,39.9094321,75.79600642,0.456098161,0.049368727
H21_2023,Year 2,Wheat,0.117136659,2.302064,12.02443992,2.850477898,191.3184,3.571164763,0.583003404,125.6839647,14.53723809,0.1061,0.68070928,,,Wyoming,15.25863993,102.6447824,21.00108711,7.289068604,112.1307779,9.164736238,18.88615024,28.67599938,22.12797282,32.05696498,24.58437465,3.052387229,12.33690413,28.75974971,52.70333444,0.428964238,0.057916397
H22_2023,Year 2,Wheat,0.120456906,2.35144,6.584390165,2.224700514,180.62784,2.998744732,0.340471198,155.3621619,14.68599046,0.1003,0.60053072,,,Wyoming,14.15628798,101.8783797,21.13555827,10.85227323,81.50604823,18.61611567,15.12344242,6.562565091,23.98233501,38.95286924,21.73557487,2.063522336,8.205856318,20.28028503,36.52679956,0.404622337,0.056493379
H23_2023,Year 2,Wheat,0.118679051,1.56784,9.993333246,2.338898536,111.1392,0.053277871,0.335117808,83.46866454,13.29085556,0.1008,0.582604,,,Wyoming,13.50630517,104.6697405,18.44799223,9.996792053,90.58641228,11.87315952,16.62643919,14.98148914,22.59653599,32.79553206,22.6735166,3.008341453,13.38256775,32.52765908,58.4375721,0.411421176,0.051479576
H24_2023,Year 2,Wheat,0.112676056,1.630552,9.63685515,2.199914723,191.3184,4.169668052,0.333466392,125.1435675,14.7166504,0.0932,0.55238736,,,Wyoming,20.0926916,107.9600637,19.37831278,12.86422545,93.42108884,25.29197742,19.81349589,5.852569383,27.11753527,48.60868307,24.90818201,1.301877303,5.953001978,14.56862696,26.43288906,0.408617915,0.049252176
H25_2023,Year 2,Wheat,0.118852459,1.80336,8.944923835,2.092493117,196.66368,1.892204103,0.398469722,94.53407189,11.11155035,0.0965,0.64567248,,,Wyoming,10.02743131,104.5104573,17.81987073,15.56736755,72.41702132,13.15721783,14.67757768,15.10434421,23.22027148,30.86756427,22.31150003,3.317351238,15.26395396,31.68373584,60.20831297,0.481759917,0.055097894
H26_2023,Year 2,Wheat,0.136886102,1.590512,8.07228906,2.126579384,185.97312,4.204949159,0.198195056,95.28837373,11.26874792,0.0946,0.59163728,,,Wyoming,10.05132582,88.3113382,18.5819961,8.173103539,79.42525663,12.67485596,18.39456894,1.823699548,19.16151289,31.72859416,16.11695407,2.976833409,12.78391306,31.20925888,56.09236784,0.409619245,0.053070204
H27_2023,Year 2,Wheat,0.130760986,2.019896,6.843206078,2.935840415,207.35424,6.127434624,0.05328204,116.5100613,11.90952269,0.1004,0.612388,,,Wyoming,13.10820692,183.8584412,22.54474063,12.95064589,72.07487526,13.76459983,24.13849149,10.37321961,28.96282255,31.4973303,25.42827152,4.090822868,14.44529911,34.36191857,63.52958498,0.420386862,0.064392407
H28_2023,Year 2,Wheat,0.11957672,2.017144,13.7507798,2.989708121,212.69952,30.65671667,1.131856831,58.96218073,13.43831297,0.106,0.64235344,,,Wyoming,16.00814397,100.2983218,24.31089132,10.53196077,126.9902307,11.07344543,30.45992504,6.070183083,25.32131119,37.49959186,23.91200859,1.510692192,6.898610652,16.60837312,30.03044164,0.415369441,0.05030536
H31_2023,Year 2,CRP IWG,0.160116324,3.426304,29.30688446,8.799499398,357.02208,43.55630059,6.034909118,346.3513059,41.67509068,0.1565,1.33014256,,,Wyoming,43.71336687,257.6053348,56.42623005,31.12978898,294.2888743,29.45534605,103.0530713,22.73334189,66.68936475,93.10413864,66.90923506,2.685129362,13.51373229,29.51947588,55.50050658,0.457790387,0.048380268
H32_2023,Year 2,CRP IWG,0.172949002,2.709608,17.08107126,6.476918446,351.6768,4.514891516,1.181117916,200.6618452,26.87981024,0.135,1.07052976,,,Wyoming,38.93057608,253.9457611,57.01108133,44.25033462,140.3807034,51.42872518,43.32929973,6.367954282,70.66866855,84.96823298,51.52586627,2.808818974,13.3469055,26.08431321,51.56838382,0.511683225,0.05446785
H33_2023,Year 2,CRP IWG,0.175936436,3.22336,21.16267647,5.959496795,362.36736,21.62950126,2.0371575,297.8799735,40.46677305,0.1579,1.262212,,,Wyoming,37.24297999,306.2758318,66.50928172,46.38491591,333.9697055,8.275243048,83.22309721,41.52315734,77.02009425,52.57071888,65.43419776,4.356434935,19.12988223,43.32424552,80.19077594,0.441551422,0.054325886
H34_2023,Year 2,CRP IWG,0.178142077,3.914944,34.56575488,11.0159116,485.3088,35.49199483,4.050328592,330.2417268,48.86246504,0.1852,1.55207216,,,Wyoming,55.01328521,342.7632513,83.69850795,46.83245048,421.2653819,1.974456741,135.4850133,22.90798362,92.72174753,28.84042775,60.96435646,5.337986469,26.12637502,61.36886272,112.7405111,0.425726889,0.047347545
H35_2023,Year 2,CRP IWG,0.178571429,3.547832,29.59706787,7.105584519,348.1272,20.00914795,3.160510577,281.2310351,38.41413482,0.148,1.13668464,,,Wyoming,44.73938528,293.5018117,69.08737447,37.11044021,334.6843199,5.5710522,144.5293298,69.35102523,76.17262083,43.18036379,70.76966384,5.640233331,26.4411019,50.41379721,98.86517332,0.524481459,0.057049749
H36_2023,Year 2,CRP IWG,0.205914567,4.052504,30.54509735,9.090225672,438.5808,32.78245189,5.289622732,431.3620959,44.84182217,0.1768,1.48492208,,,Wyoming,36.69890554,387.6424444,65.2926797,87.71872586,217.7224722,9.895861967,68.01029679,8.794956819,95.00802955,46.41714696,56.57841983,4.958865574,21.77402383,48.50214934,91.34054805,0.44892905,0.05428986
H37_2023,Year 2,CRP IWG,0.207175926,4.5738,36.62701527,11.17002124,481.1472,29.60693584,3.691442637,405.2628567,42.63239809,0.1837,1.66010064,,,Wyoming,58.35109178,474.2670981,111.1719885,129.3218721,287.790994,42.46095686,83.34953417,37.27364169,141.2325612,110.5435705,105.2904338,4.924472578,21.54063836,46.16400711,87.3083615,0.466611105,0.056403218
H38_2023,Year 2,CRP IWG,0.206775701,4.076184,19.93431032,13.01365764,454.5432,35.21410459,4.981268511,563.5281332,57.19276908,0.1829,1.69988688,,,Wyoming,58.65685187,482.4696417,104.976053,126.0797635,270.7519514,17.59079088,65.07078582,16.02294793,139.1172845,69.01261448,81.03800205,5.184763235,33.35241844,56.05260023,116.3229349,0.595020005,0.044572149
C0_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0_5_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2_5_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_5_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4_5_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6_5_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7_5_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8_4_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9_1_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9_2_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9_3_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
